CAS No.,Chemical Name,Species Name,Common Name,Effect,Measurement,Endpoint,Dur (Std),Conc. Type,Conc. Mean (Std),Conc. Units (Std),Pub. Year,Citation
153719234,Thiamethoxam,Cloeon dipterum,Mayfly,Mortality,Mortality,LC10,4,Active ingredient,0.0136,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
138261413,Imidacloprid,Bombus impatiens,Bumble Bee,Mortality,Mortality,NOEL,77,Active ingredient,0.014,AI ug/g food,2014,"Scholer,J., and V. Krischik. Chronic Exposure of Imidacloprid and Clothianidin Reduce Queen Survival, Foraging, and Nectar Storing in Colonies of Bombus impatiens. PLoS One9(3): 14 p., 2014. ECOREF #168293"
138261413,Imidacloprid,Cloeon dipterum,Mayfly,Mortality,Mortality,LC10,4,Active ingredient,0.014,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
138261413,Imidacloprid,Cloeon dipterum,Mayfly,Mortality,Mortality,LC50,14,Active ingredient,0.014,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
138261413,Imidacloprid,Cloeon dipterum,Mayfly,Mortality,Mortality,LC10,4,Active ingredient,0.015,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
210880925,Clothianidin,Danaus plexippus,Monarch Butterfly,Mortality,Mortality,LC50,1.5,Formulation,0.01563,AI mg/kg food,2015,"Pecenka,J.R., and J.G. Lundgren. Non-Target Effects of Clothianidin on Monarch Butterflies. Sci. Nat.102(19): 4 p., 2015. ECOREF #173323"
138261413,Imidacloprid,Hyalella azteca,Scud,Mortality,Mortality,LC25,4,Active ingredient,0.01573,AI mg/L,2008,"Stoughton,S.J., K. Liber, J. Culp, and A. Cessna. Acute and Chronic Toxicity of Imidacloprid to the Aquatic Invertebrates Chironomus tentans and Hyalella azteca Under Constant- and Pulse-Exposure Conditions. Arch. Environ. Contam. Toxicol.54(4): 662-673, 2008. ECOREF #110523"
138261413,Imidacloprid,Bombus impatiens,Bumble Bee,Mortality,Mortality,LOEL,77,Active ingredient,0.016,AI ug/g food,2014,"Scholer,J., and V. Krischik. Chronic Exposure of Imidacloprid and Clothianidin Reduce Queen Survival, Foraging, and Nectar Storing in Colonies of Bombus impatiens. PLoS One9(3): 14 p., 2014. ECOREF #168293"
138261413,Imidacloprid,Bombus impatiens,Bumble Bee,Mortality,Mortality,NOEL,42,Active ingredient,0.016,AI ug/g food,2014,"Scholer,J., and V. Krischik. Chronic Exposure of Imidacloprid and Clothianidin Reduce Queen Survival, Foraging, and Nectar Storing in Colonies of Bombus impatiens. PLoS One9(3): 14 p., 2014. ECOREF #168293"
138261413,Imidacloprid,Cloeon dipterum,Mayfly,Mortality,Mortality,LC10,3,Active ingredient,0.016,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
138261413,Imidacloprid,Trichogramma chilonis,Parastic Wasp,Mortality,Mortality,LC50,2.1667,Active ingredient,0.016,AI mg/L,2013,"Shankarganesh,K., B. Paul, and R.D. Gautam. Studies on Ecological Safety of Insecticides to Egg Parasitoids, Trichogramma chilonis Ishii and Trichogramma brasiliensis (Ashmead). Natl. Acad. Sci. Lett.36(6): 581-585, 2013. ECOREF #167838"
138261413,Imidacloprid,Tipula sp.,Cranefly,Mortality,Mortality,LC10,14,Active ingredient,0.0162,AI mg/L,2008,"Kreutzweiser,D.P., K.P. Good, D.T. Chartrand, T.A. Scarr, and D.G. Thompson. Toxicity of the Systemic Insecticide, Imidacloprid, to Forest Stream Insects and Microbial Communities. Bull. Environ. Contam. Toxicol.80(3): 211-214, 2008. ECOREF #101962"
135410207,Acetamiprid,Trichogramma chilonis,Parastic Wasp,Mortality,Mortality,LC50,2.1667,Active ingredient,0.017,AI mg/L,2013,"Shankarganesh,K., B. Paul, and R.D. Gautam. Studies on Ecological Safety of Insecticides to Egg Parasitoids, Trichogramma chilonis Ishii and Trichogramma brasiliensis (Ashmead). Natl. Acad. Sci. Lett.36(6): 581-585, 2013. ECOREF #167838"
210880925,Clothianidin,Bombus impatiens,Bumble Bee,Mortality,Mortality,LOEL,77,Active ingredient,0.017,AI ug/g food,2014,"Scholer,J., and V. Krischik. Chronic Exposure of Imidacloprid and Clothianidin Reduce Queen Survival, Foraging, and Nectar Storing in Colonies of Bombus impatiens. PLoS One9(3): 14 p., 2014. ECOREF #168293"
210880925,Clothianidin,Bombus impatiens,Bumble Bee,Mortality,Mortality,NOEL,42,Active ingredient,0.017,AI ug/g food,2014,"Scholer,J., and V. Krischik. Chronic Exposure of Imidacloprid and Clothianidin Reduce Queen Survival, Foraging, and Nectar Storing in Colonies of Bombus impatiens. PLoS One9(3): 14 p., 2014. ECOREF #168293"
138261413,Imidacloprid,Hyalella azteca,Scud,Mortality,Mortality,LC50,4,Active ingredient,0.01744,AI mg/L,2008,"Stoughton,S.J., K. Liber, J. Culp, and A. Cessna. Acute and Chronic Toxicity of Imidacloprid to the Aquatic Invertebrates Chironomus tentans and Hyalella azteca Under Constant- and Pulse-Exposure Conditions. Arch. Environ. Contam. Toxicol.54(4): 662-673, 2008. ECOREF #110523"
111988499,Thiacloprid,Americamysis bahia,Opossum Shrimp,Mortality,Mortality,NOEL,4,Active ingredient,0.018,AI mg/L,1992,"U.S. Environmental Protection Agency. Pesticide Ecotoxicity Database (Formerly:  Environmental Effects Database (EEDB)). Environmental Fate and Effects Division, U.S.EPA, Washington, D.C.:, 1992. ECOREF #344"
138261413,Imidacloprid,Cloeon dipterum,Mayfly,Mortality,Mortality,LC10,3,Active ingredient,0.019,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
138261413,Imidacloprid,Culex quinquefasciatus,Southern House Mosquito,Mortality,Mortality,LC50,3,Active ingredient,0.019,AI mg/L,2014,"Bhan,S., L. Mohan, and C.N. Srivastava. Relative Larvicidal Potentiality of Nano-Encapsulated Temephos and Imidacloprid Against Culex quinquefasciatus. J. Asia Pac. Entomol.17(4): 787-791, 2014. ECOREF #168590"
210880925,Clothianidin,Planorbella pilsbryi,File Rams-horn,Mortality,Mortality,LC10,28,Active ingredient,0.0198,AI mg/L,2016,"Prosser,R.S., S.R. De Solla, E.A.M. Holman, R. Osborne, S.A. Robinson, A.J. Bartlett, F.J. Maisonneuve, and P.L. Gillis. Sensitivity of the Early-Life Stages of Freshwater Mollusks to Neonicotinoid and Butenolide Insecticides. Environ. Pollut.218:428-435, 2016. ECOREF #173464"
138261413,Imidacloprid,Chironomus riparius,Midge,Mortality,Mortality,LC50,2,Active ingredient,0.0199,AI mg/L,2011,"Azevedo-Pereira,H.M.V.S., M.F.L. Lemos, and A.M.V.M. Soares. Behaviour and Growth of Chironomus riparius Meigen (Diptera: Chironomidae) Under Imidacloprid Pulse and Constant Exposure Scenarios. Water Air Soil Pollut.219(1-4): 215-224, 2011. ECOREF #165043"
111988499,Thiacloprid,Chaetopteryx villosa,Caddisfly,Mortality,Mortality,NR-ZERO,7,Formulation,0.02,AI mg/L,2017,"Englert,D., J.P. Zubrod, M. Link, S. Mertins, R. Schulz, and M. Bundschuh. Does Waterborne Exposure Explain Effects Caused by Neonicotinoid-Contaminated Plant Material in Aquatic Systems?. Environ. Sci. Technol.51(10): 5793-5802, 2017. ECOREF #175425"
111988499,Thiacloprid,Danio rerio,Zebra Danio,Mortality,Mortality,NOEC,3,Formulation,0.02,AI mg/L,2008,"Osterauer,R., and H.R. Kohler. Temperature-Dependent Effects of the Pesticides Thiacloprid and Diazinon on the Embryonic Development of Zebrafish (Danio rerio). Aquat. Toxicol.86:485-494, 2008. ECOREF #100782"
111988499,Thiacloprid,Danio rerio,Zebra Danio,Mortality,Mortality,NOEC,3,Formulation,0.02,AI mg/L,2008,"Osterauer,R., and H.R. Kohler. Temperature-Dependent Effects of the Pesticides Thiacloprid and Diazinon on the Embryonic Development of Zebrafish (Danio rerio). Aquat. Toxicol.86:485-494, 2008. ECOREF #100782"
111988499,Thiacloprid,Danio rerio,Zebra Danio,Mortality,Mortality,NOEC,4,Formulation,0.02,AI mg/L,2008,"Osterauer,R., and H.R. Kohler. Temperature-Dependent Effects of the Pesticides Thiacloprid and Diazinon on the Embryonic Development of Zebrafish (Danio rerio). Aquat. Toxicol.86:485-494, 2008. ECOREF #100782"
111988499,Thiacloprid,Danio rerio,Zebra Danio,Mortality,Mortality,NOEC,4,Formulation,0.02,AI mg/L,2008,"Osterauer,R., and H.R. Kohler. Temperature-Dependent Effects of the Pesticides Thiacloprid and Diazinon on the Embryonic Development of Zebrafish (Danio rerio). Aquat. Toxicol.86:485-494, 2008. ECOREF #100782"
135410207,Acetamiprid,Culex pipiens ssp. pallens,Mosquito,Mortality,Mortality,LC50,3,Formulation,0.02,AI mg/L,2002,"Mo,J.C., T.C. Yang, J.A. Cheng, and X.G. Song. Lethal and Sublethal Effects of Acetamiprid on the Larvae of Culex pipiens pallens. Entomol. Sin.9(3): 45-49, 2002. ECOREF #71564"
138261413,Imidacloprid,Bombus terrestris,Buff Tailed Bumblebee,Mortality,Mortality,LC50,77,Formulation,0.02,AI ug/g food,2010,"Mommaerts,V., S. Reynders, J. Boulet, L. Besard, G. Sterk, and G. Smagghe. Risk Assessment for Side-Effects of Neonicotinoids Against  Bumblebees with and Without Impairing Foraging Behavior. Ecotoxicology19(1): 207-215, 2010. ECOREF #159465"
138261413,Imidacloprid,Bombus terrestris,Buff Tailed Bumblebee,Mortality,Mortality,LOEC,77,Formulation,0.02,AI ug/g food,2010,"Mommaerts,V., S. Reynders, J. Boulet, L. Besard, G. Sterk, and G. Smagghe. Risk Assessment for Side-Effects of Neonicotinoids Against  Bumblebees with and Without Impairing Foraging Behavior. Ecotoxicology19(1): 207-215, 2010. ECOREF #159465"
138261413,Imidacloprid,Bombus terrestris,Buff Tailed Bumblebee,Mortality,Mortality,LOEC,77,Formulation,0.02,AI ug/g food,2010,"Mommaerts,V., S. Reynders, J. Boulet, L. Besard, G. Sterk, and G. Smagghe. Risk Assessment for Side-Effects of Neonicotinoids Against  Bumblebees with and Without Impairing Foraging Behavior. Ecotoxicology19(1): 207-215, 2010. ECOREF #159465"
138261413,Imidacloprid,Bombus terrestris,Buff Tailed Bumblebee,Mortality,Mortality,NR-ZERO,77,Formulation,0.02,AI ug/g food,2010,"Mommaerts,V., S. Reynders, J. Boulet, L. Besard, G. Sterk, and G. Smagghe. Risk Assessment for Side-Effects of Neonicotinoids Against  Bumblebees with and Without Impairing Foraging Behavior. Ecotoxicology19(1): 207-215, 2010. ECOREF #159465"
138261413,Imidacloprid,Culex quinquefasciatus,Southern House Mosquito,Mortality,Mortality,LC50,3,Active ingredient,0.02,AI mg/L,2015,"Uragayala,S., V. Verma, E. Natarajan, P.S. Velamuri, and R. Kamaraju. Adulticidal & Larvicidal Efficacy of Three Neonicotinoids Against Insecticide Susceptible & Resistant Mosquito Strains. Indian J. Med. Res.142:64-70, 2015. ECOREF #173152"
138261413,Imidacloprid,Asellus aquaticus,Aquatic Sowbug,Mortality,Mortality,LC50,28,Formulation,0.0203,AI mg/L,2013,"Roessink,I., L.B. Merga, H.J. Zweers, and P.J. Van den Brink. The Neonicotinoid Imidacloprid Shows High Chronic Toxicity to Mayfly Nymphs. Environ. Toxicol. Chem.32(5): 1096-1100, 2013. ECOREF #166772"
138261413,Imidacloprid,Pteronarcys dorsata,Stonefly,Mortality,Mortality,LC10,14,Active ingredient,0.0208,AI mg/L,2008,"Kreutzweiser,D.P., K.P. Good, D.T. Chartrand, T.A. Scarr, and D.G. Thompson. Toxicity of the Systemic Insecticide, Imidacloprid, to Forest Stream Insects and Microbial Communities. Bull. Environ. Contam. Toxicol.80(3): 211-214, 2008. ECOREF #101962"
135410207,Acetamiprid,Chironomus riparius,Midge,Mortality,Mortality,LC50,2,Active ingredient,0.0209,AI mg/L,1992,"U.S. Environmental Protection Agency. Pesticide Ecotoxicity Database (Formerly:  Environmental Effects Database (EEDB)). Environmental Fate and Effects Division, U.S.EPA, Washington, D.C.:, 1992. ECOREF #344"
138261413,Imidacloprid,Anagrus nilaparvatae,Egg Parasitoid,Mortality,Mortality,LC50,0.3333,Active ingredient,0.021,AI mg/L,2008,"Wang,H.Y., Y. Yang, J.Y. Su, J.L. Shen, C.F. Gao, and Y.C. Zhu. Assessment of the Impact of Insecticides on Anagrus nilaparvatae (Pang et Wang) (Hymenoptera: Mymanidae), an Egg Parasitoid of the Rice Planthopper, Nilaparvata lugens (Hemiptera: Delphacidae). Crop Prot.27(3-5): 514-522, 2008. ECOREF #102534"
138261413,Imidacloprid,Aedes taeniorhynchus,Mosquito,Mortality,Mortality,LC50,3,Active ingredient,0.021,AI mg/L,1998,"Song,M.Y., and J.J. Brown. Osmotic Effects as a Factor Modifying Insecticide Toxicity on Aedes and Artemia. Ecotoxicol. Environ. Saf.41:195-202, 1998. ECOREF #19639"
135410207,Acetamiprid,Gammarus fossarum,Scud,Mortality,Mortality,LC20,7,Formulation,0.02134,AI mg/L,2017,"Englert,D., J.P. Zubrod, M. Link, S. Mertins, R. Schulz, and M. Bundschuh. Does Waterborne Exposure Explain Effects Caused by Neonicotinoid-Contaminated Plant Material in Aquatic Systems?. Environ. Sci. Technol.51(10): 5793-5802, 2017. ECOREF #175425"
111988499,Thiacloprid,Chaetopteryx villosa,Caddisfly,Mortality,Mortality,LC50,7,Active ingredient,0.0216,AI mg/L,2017,"Englert,D., J.P. Zubrod, M. Link, S. Mertins, R. Schulz, and M. Bundschuh. Does Waterborne Exposure Explain Effects Caused by Neonicotinoid-Contaminated Plant Material in Aquatic Systems?. Environ. Sci. Technol.51(10): 5793-5802, 2017. ECOREF #175425"
138261413,Imidacloprid,Cloeon dipterum,Mayfly,Mortality,Mortality,LC10,4,Active ingredient,0.022,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
210880925,Clothianidin,Chironomus riparius,Midge,Mortality,Mortality,LC50,2,Active ingredient,0.022,AI mg/L,1992,"U.S. Environmental Protection Agency. Pesticide Ecotoxicity Database (Formerly:  Environmental Effects Database (EEDB)). Environmental Fate and Effects Division, U.S.EPA, Washington, D.C.:, 1992. ECOREF #344"
153719234,Thiamethoxam,Cloeon dipterum,Mayfly,Mortality,Mortality,LC10,3,Active ingredient,0.0221,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
210880925,Clothianidin,Neochrysocharis okazakii,Chalcid Wasp,Mortality,Mortality,LC50,1,Active ingredient,0.0231,AI mg/L,2012,"Tran,D.H., and T. Ueno. Toxicity of Insecticides to Neochrysocharis okazakii, a Parasitoid Liriomyza Leafminers on Vegetables. J. Fac. Agric. Kyushu Univ.57:127-131, 2012. ECOREF #167908"
138261413,Imidacloprid,Culex quinquefasciatus,Southern House Mosquito,Mortality,Mortality,LC50,2,Active ingredient,0.024,AI mg/L,2014,"Bhan,S., L. Mohan, and C.N. Srivastava. Relative Larvicidal Potentiality of Nano-Encapsulated Temephos and Imidacloprid Against Culex quinquefasciatus. J. Asia Pac. Entomol.17(4): 787-791, 2014. ECOREF #168590"
138261413,Imidacloprid,Pteronarcys dorsata,Stonefly,Mortality,Mortality,NOEL,14,Active ingredient,0.024,AI mg/L,2008,"Kreutzweiser,D.P., K.P. Good, D.T. Chartrand, T.A. Scarr, and D.G. Thompson. Toxicity of the Systemic Insecticide, Imidacloprid, to Forest Stream Insects and Microbial Communities. Bull. Environ. Contam. Toxicol.80(3): 211-214, 2008. ECOREF #101962"
138261413,Imidacloprid,Caenis horaria,Mayfly,Mortality,Mortality,LC10,4,Active ingredient,0.025,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
138261413,Imidacloprid,Sialis lutaria,Alderfly,Mortality,Mortality,LC10,28,Formulation,0.0251,AI mg/L,2013,"Roessink,I., L.B. Merga, H.J. Zweers, and P.J. Van den Brink. The Neonicotinoid Imidacloprid Shows High Chronic Toxicity to Mayfly Nymphs. Environ. Toxicol. Chem.32(5): 1096-1100, 2013. ECOREF #166772"
138261413,Imidacloprid,Limnephilidae,Caddisfly Family,Mortality,Mortality,LC50,4,Formulation,0.0257,AI mg/L,2013,"Roessink,I., L.B. Merga, H.J. Zweers, and P.J. Van den Brink. The Neonicotinoid Imidacloprid Shows High Chronic Toxicity to Mayfly Nymphs. Environ. Toxicol. Chem.32(5): 1096-1100, 2013. ECOREF #166772"
135410207,Acetamiprid,Culex pipiens ssp. pallens,Mosquito,Mortality,Mortality,LC50,3,Formulation,0.026,AI mg/L,2002,"Mo,J.C., T.C. Yang, J.A. Cheng, and X.G. Song. Lethal and Sublethal Effects of Acetamiprid on the Larvae of Culex pipiens pallens. Entomol. Sin.9(3): 45-49, 2002. ECOREF #71564"
138261413,Imidacloprid,Cloeon dipterum,Mayfly,Mortality,Mortality,LC50,4,Formulation,0.0263,AI mg/L,2013,"Roessink,I., L.B. Merga, H.J. Zweers, and P.J. Van den Brink. The Neonicotinoid Imidacloprid Shows High Chronic Toxicity to Mayfly Nymphs. Environ. Toxicol. Chem.32(5): 1096-1100, 2013. ECOREF #166772"
111988499,Thiacloprid,Cloeon dipterum,Mayfly,Mortality,Mortality,LC10,1,Active ingredient,0.027,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
135410207,Acetamiprid,Culex pipiens ssp. pallens,Mosquito,Mortality,Mortality,LC50,2,Formulation,0.027,AI mg/L,2002,"Mo,J.C., T.C. Yang, J.A. Cheng, and X.G. Song. Lethal and Sublethal Effects of Acetamiprid on the Larvae of Culex pipiens pallens. Entomol. Sin.9(3): 45-49, 2002. ECOREF #71564"
138261413,Imidacloprid,Caenis horaria,Mayfly,Mortality,Mortality,LC50,4,Active ingredient,0.028,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
138261413,Imidacloprid,Cloeon dipterum,Mayfly,Mortality,Mortality,LC10,3,Active ingredient,0.028,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
138261413,Imidacloprid,Micronecta sp.,Lesser Water Boatmen,Mortality,Mortality,LC50,4,Formulation,0.0282,AI mg/L,2013,"Roessink,I., L.B. Merga, H.J. Zweers, and P.J. Van den Brink. The Neonicotinoid Imidacloprid Shows High Chronic Toxicity to Mayfly Nymphs. Environ. Toxicol. Chem.32(5): 1096-1100, 2013. ECOREF #166772"
138261413,Imidacloprid,Cloeon dipterum,Mayfly,Mortality,Mortality,LC50,4,Active ingredient,0.029,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
138261413,Imidacloprid,Aedes taeniorhynchus,Mosquito,Mortality,Mortality,LC90,2,Active ingredient,0.029,AI mg/L,1998,"Song,M.Y., and J.J. Brown. Osmotic Effects as a Factor Modifying Insecticide Toxicity on Aedes and Artemia. Ecotoxicol. Environ. Saf.41:195-202, 1998. ECOREF #19639"
111988499,Thiacloprid,Cloeon dipterum,Mayfly,Mortality,Mortality,LC50,4,Active ingredient,0.03,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
165252700,Dinotefuran,Trichogramma ostriniae,Parasitic Wasp,Mortality,Mortality,LC10,1,Active ingredient,0.03,AI mg/L,2015,"Li,W., P. Zhang, J. Zhang, W. Lin, Y. Lu, and Y. Gao. Acute and Sublethal Effects of Neonicotinoids and Pymetrozine on an Important Egg Parasitoid, Trichogramma ostriniae (Hymenoptera: Trichogrammatidae). Biocontrol Sci. Technol.25(2): 121-131, 2015. ECOREF #173149"
210880925,Clothianidin,Danaus plexippus,Monarch Butterfly,Mortality,Mortality,LC90,1.5,Formulation,0.0307,AI mg/kg food,2015,"Pecenka,J.R., and J.G. Lundgren. Non-Target Effects of Clothianidin on Monarch Butterflies. Sci. Nat.102(19): 4 p., 2015. ECOREF #173323"
111988499,Thiacloprid,Americamysis bahia,Opossum Shrimp,Mortality,Mortality,LC50,4,Active ingredient,0.031,AI mg/L,1992,"U.S. Environmental Protection Agency. Pesticide Ecotoxicity Database (Formerly:  Environmental Effects Database (EEDB)). Environmental Fate and Effects Division, U.S.EPA, Washington, D.C.:, 1992. ECOREF #344"
138261413,Imidacloprid,Americamysis bahia,Opossum Shrimp,Mortality,Mortality,NOEL,4,Active ingredient,0.032,AI mg/L,1992,"U.S. Environmental Protection Agency. Pesticide Ecotoxicity Database (Formerly:  Environmental Effects Database (EEDB)). Environmental Fate and Effects Division, U.S.EPA, Washington, D.C.:, 1992. ECOREF #344"
138261413,Imidacloprid,Plea minutissima,Water Bug,Mortality,Mortality,LC10,4,Formulation,0.0323,AI mg/L,2013,"Roessink,I., L.B. Merga, H.J. Zweers, and P.J. Van den Brink. The Neonicotinoid Imidacloprid Shows High Chronic Toxicity to Mayfly Nymphs. Environ. Toxicol. Chem.32(5): 1096-1100, 2013. ECOREF #166772"
138261413,Imidacloprid,Sialis lutaria,Alderfly,Mortality,Mortality,LC50,28,Formulation,0.0325,AI mg/L,2013,"Roessink,I., L.B. Merga, H.J. Zweers, and P.J. Van den Brink. The Neonicotinoid Imidacloprid Shows High Chronic Toxicity to Mayfly Nymphs. Environ. Toxicol. Chem.32(5): 1096-1100, 2013. ECOREF #166772"
135410207,Acetamiprid,Culex pipiens ssp. pallens,Mosquito,Mortality,Mortality,LC50,2,Formulation,0.033,AI mg/L,2002,"Mo,J.C., T.C. Yang, J.A. Cheng, and X.G. Song. Lethal and Sublethal Effects of Acetamiprid on the Larvae of Culex pipiens pallens. Entomol. Sin.9(3): 45-49, 2002. ECOREF #71564"
111988499,Thiacloprid,Gammarus fossarum,Scud,Mortality,Mortality,LC20,7,Active ingredient,0.0331,AI mg/L,2017,"Englert,D., J.P. Zubrod, M. Link, S. Mertins, R. Schulz, and M. Bundschuh. Does Waterborne Exposure Explain Effects Caused by Neonicotinoid-Contaminated Plant Material in Aquatic Systems?. Environ. Sci. Technol.51(10): 5793-5802, 2017. ECOREF #175425"
138261413,Imidacloprid,Gammarus pulex,Scud,Mortality,Mortality,LC50,28,Formulation,0.0338,AI mg/L,2013,"Roessink,I., L.B. Merga, H.J. Zweers, and P.J. Van den Brink. The Neonicotinoid Imidacloprid Shows High Chronic Toxicity to Mayfly Nymphs. Environ. Toxicol. Chem.32(5): 1096-1100, 2013. ECOREF #166772"
138261413,Imidacloprid,Eisenia fetida,Earthworm,Mortality,Mortality,LC50,2,Active ingredient,0.034,mg/L,1999,"Luo,Y., Y. Zang, Y. Zhong, and Z. Kong. Toxicological Study of Two Novel Pesticides on Earthworm Eisenia foetida. Chemosphere39(13): 2347-2356, 1999. ECOREF #20610"
138261413,Imidacloprid,Cloeon dipterum,Mayfly,Mortality,Mortality,LC50,4,Active ingredient,0.034,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
138261413,Imidacloprid,Cloeon dipterum,Mayfly,Mortality,Mortality,LC10,2,Active ingredient,0.035,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
153719234,Thiamethoxam,Chironomus sp.,Midge,Mortality,Mortality,LC50,2,Active ingredient,0.035,AI mg/L,1992,"U.S. Environmental Protection Agency. Pesticide Ecotoxicity Database (Formerly:  Environmental Effects Database (EEDB)). Environmental Fate and Effects Division, U.S.EPA, Washington, D.C.:, 1992. ECOREF #344"
111988499,Thiacloprid,Hyalella azteca,Scud,Mortality,Mortality,LC50,4,Active ingredient,0.037,AI mg/L,1992,"U.S. Environmental Protection Agency. Pesticide Ecotoxicity Database (Formerly:  Environmental Effects Database (EEDB)). Environmental Fate and Effects Division, U.S.EPA, Washington, D.C.:, 1992. ECOREF #344"
